window_index,predicted_label,confidence,command
0,0,0.9466416531595474,STOP
1,0,0.8413240687099277,STOP
2,0,0.996037550893032,STOP
3,0,0.8747893709042348,STOP
4,0,0.852384306876419,STOP
5,0,0.9127279565650699,STOP
6,0,0.9893562280834425,STOP
7,0,0.9444460503316358,STOP
8,0,0.9534144914973355,STOP
9,0,0.9991464590897507,STOP
10,0,0.9990534385352463,STOP
11,1,0.9956953809103797,WALK
12,1,0.9999999324600343,WALK
13,0,0.7118670987979543,STOP
14,1,0.5251632764541826,IDLE
15,0,0.7511569025277444,STOP
16,1,0.730542129752559,WALK
17,0,0.5503671567447117,IDLE
18,1,0.7254423599275802,WALK
19,0,0.8936468746866384,STOP
20,0,0.9945902846919804,STOP
21,1,0.6346727775058241,WALK
22,1,0.9959001938149323,WALK
23,1,0.9998825778749663,WALK
24,0,0.9978875802242134,STOP
25,0,0.9314417225116474,STOP
26,0,0.9337384657536041,STOP
27,1,0.5712208903659802,IDLE
28,0,0.8598269613647609,STOP
29,1,0.8696523276399584,WALK
30,0,0.9800993953024291,STOP
31,0,0.9673546510353542,STOP
32,1,0.987831418761623,WALK
33,1,0.994230590847078,WALK
34,0,0.9329607036229494,STOP
35,0,0.9287216938496641,STOP
36,0,0.711011193914793,STOP
37,1,0.8727064831431297,WALK
38,1,0.995137572616686,WALK
39,0,0.8649914405147866,STOP
40,0,0.9999713053308081,STOP
