train_session,test_session,accuracy,balanced_accuracy,walk_recall,stop_recall,walk_support,stop_support,collapse
ses-01,ses-02,0.6612244897959184,0.7169505704775636,0.9371584699453552,0.496742671009772,366,614,False
ses-02,ses-01,0.7571428571428571,0.8050853491393888,0.994535519125683,0.6156351791530945,366,614,False
