test_session,accuracy,balanced_accuracy,walk_recall,stop_recall,walk_support,stop_support,collapse
ses-01,0.8295918367346938,0.8353135401648244,0.8579234972677595,0.8127035830618893,366,614,False
ses-02,0.8642857142857143,0.8767955358573183,0.9262295081967213,0.8273615635179153,366,614,False
ses-03,0.889795918367347,0.8954984781331767,0.9180327868852459,0.8729641693811075,366,614,False
ses-04,0.8704081632653061,0.8723011338352824,0.8797814207650273,0.8648208469055375,366,614,False
ses-05,0.8224489795918367,0.7733308413876577,0.5792349726775956,0.9674267100977199,366,614,False
ses-06,0.773469387755102,0.8021128139406561,0.9153005464480874,0.6889250814332247,366,614,False
ses-07,0.8275510204081633,0.8105097808867767,0.7431693989071039,0.8778501628664495,366,614,False
ses-08,0.8397959183673469,0.8131085242341717,0.7076502732240437,0.9185667752442996,366,614,False
