train,test,windows,raw_accuracy,raw_balanced_accuracy,smoothed_accuracy,smoothed_balanced_accuracy,walk_recall,stop_recall,collapse_warning
sub-02/ses-01,sub-02/ses-02,980,0.7806122448979592,0.8039506238763995,0.786734693877551,0.8110437692458304,0.907103825136612,0.7149837133550488,False
sub-02/ses-02,sub-02/ses-01,980,0.8785714285714286,0.868331820366316,0.9,0.8909506772752354,0.855191256830601,0.9267100977198697,False
