commit_sha,holdout_session,n_train_sessions,n_runs,n_combinations,n_seeds,accuracy_mean,accuracy_sd_across_runs,balanced_accuracy_mean,balanced_accuracy_sd_across_runs,walk_recall_mean,walk_recall_sd_across_runs,stop_recall_mean,stop_recall_sd_across_runs,walk_support,stop_support,n_windows,balanced_accuracy_min,balanced_accuracy_max,collapse_count
25047c459adb0205705cd17abc37bdd952343e45,ses-01,1,9,3,3,0.8431972789115646,0.0282829827582351,0.8581267095043995,0.025450620689559215,0.9171220400728598,0.023701299962974716,0.7991313789359392,0.03945101470289684,366,614,980,0.8314287748527083,0.889615706377601,0
25047c459adb0205705cd17abc37bdd952343e45,ses-01,2,9,3,3,0.858843537414966,0.023552426301191438,0.8702452786529254,0.026380608309797625,0.9153005464480874,0.03756209586029376,0.8251900108577633,0.015212981834095612,366,614,980,0.8476086221320376,0.9048788736405546,0
25047c459adb0205705cd17abc37bdd952343e45,ses-01,4,9,3,3,0.8272108843537415,0.02121492131254262,0.8376438060316952,0.022257209403589804,0.8788706739526412,0.030790785982471695,0.7964169381107492,0.021896302377440974,366,614,980,0.8081246328830032,0.8550444100318613,0
25047c459adb0205705cd17abc37bdd952343e45,ses-01,7,3,1,3,0.8275510204081633,0.0,0.8403063313219772,0.0,0.8907103825136612,0.0,0.7899022801302932,0.0,366,614,980,0.8403063313219772,0.8403063313219772,0
25047c459adb0205705cd17abc37bdd952343e45,ses-02,1,9,3,3,0.8704081632653061,0.01925978172262944,0.8632885969752526,0.026039109645393396,0.8351548269581056,0.0571978727198315,0.8914223669923995,0.01694515638980844,366,614,980,0.8287677328634235,0.8837551841369858,0
25047c459adb0205705cd17abc37bdd952343e45,ses-02,2,9,3,3,0.8914965986394559,0.01988487272439292,0.8922574654539198,0.023879091539843633,0.895264116575592,0.04045653796437389,0.8892508143322475,0.010171006512049514,366,614,980,0.8605044410031861,0.9101564585892028,0
25047c459adb0205705cd17abc37bdd952343e45,ses-02,4,9,3,3,0.8761904761904762,0.02008027413689227,0.8798585524168906,0.016600231302344753,0.8943533697632058,0.008309784877456594,0.8653637350705755,0.030944625407166082,366,614,980,0.8611897260639718,0.8994900411171036,0
25047c459adb0205705cd17abc37bdd952343e45,ses-02,7,3,1,3,0.8938775510204081,0.0,0.8965486552393158,0.0,0.907103825136612,0.0,0.8859934853420195,0.0,366,614,980,0.8965486552393158,0.8965486552393158,0
25047c459adb0205705cd17abc37bdd952343e45,ses-03,1,9,3,3,0.8673469387755102,0.033568947244073444,0.8582705897011446,0.04659157878034067,0.8224043715846995,0.11497344376316015,0.8941368078175895,0.046609407235355615,366,614,980,0.7996831669069614,0.9054529111265375,0
25047c459adb0205705cd17abc37bdd952343e45,ses-03,2,9,3,3,0.8738095238095238,0.01841688331406125,0.888258485965006,0.014967983290462526,0.9453551912568307,0.008531418030598861,0.8311617806731814,0.029327268901252628,366,614,980,0.8716736975133943,0.9061648956052759,0
25047c459adb0205705cd17abc37bdd952343e45,ses-03,4,9,3,3,0.8931972789115646,0.0075157754401307736,0.8974772016636704,0.0068969825110104625,0.9143897996357013,0.009562841530054655,0.8805646036916396,0.011400651465797995,366,614,980,0.8886678770402805,0.9041668891618162,0
25047c459adb0205705cd17abc37bdd952343e45,ses-03,7,3,1,3,0.8887755102040816,0.0,0.8913734180594863,0.0,0.9016393442622951,0.0,0.8811074918566775,0.0,366,614,980,0.8913734180594863,0.8913734180594863,0
25047c459adb0205705cd17abc37bdd952343e45,ses-04,1,9,3,3,0.8363945578231292,0.03757887720065368,0.8405584924915304,0.02026160860318538,0.8570127504553734,0.062169728158375716,0.8241042345276873,0.09374021821880055,366,614,980,0.8233655506309963,0.8672015450063189,0
25047c459adb0205705cd17abc37bdd952343e45,ses-04,2,9,3,3,0.8704081632653061,0.01765188152245529,0.8765315082797862,0.026809909679579868,0.900728597449909,0.0742370391759209,0.8523344191096635,0.03173807047215807,366,614,980,0.8462647514284188,0.9081362026307827,0
25047c459adb0205705cd17abc37bdd952343e45,ses-04,4,9,3,3,0.8860544217687075,0.005749707994686066,0.883867915012786,0.007801541384108552,0.8752276867030965,0.01711743727614984,0.8925081433224755,0.004885993485342022,366,614,980,0.8741122443530731,0.8918718071946031,0
25047c459adb0205705cd17abc37bdd952343e45,ses-04,7,3,1,3,0.8704081632653061,0.0,0.8723011338352824,0.0,0.8797814207650273,0.0,0.8648208469055375,0.0,366,614,980,0.8723011338352824,0.8723011338352824,0
25047c459adb0205705cd17abc37bdd952343e45,ses-05,1,9,3,3,0.8091836734693877,0.03248121233142245,0.7699177657927058,0.02867492498738533,0.6147540983606558,0.014392969607722336,0.9250814332247557,0.04386069384200398,366,614,980,0.7326676278457129,0.7960030971324825,0
25047c459adb0205705cd17abc37bdd952343e45,ses-05,2,9,3,3,0.810204081632653,0.030240084719872332,0.768892804803522,0.033587042776602426,0.6056466302367942,0.0666884986199941,0.9321389793702497,0.04194403993379778,366,614,980,0.7400188675886865,0.8129750271444083,0
25047c459adb0205705cd17abc37bdd952343e45,ses-05,4,9,3,3,0.8095238095238095,0.020099709799583927,0.7703731391988988,0.009487906973548206,0.6156648451730419,0.03264427088893036,0.9250814332247557,0.051496455223981656,366,614,980,0.7583880671401364,0.7798721987860664,0
25047c459adb0205705cd17abc37bdd952343e45,ses-05,7,3,1,3,0.8183673469387756,0.0,0.770625300368452,0.0,0.5819672131147541,0.0,0.9592833876221498,0.0,366,614,980,0.770625300368452,0.770625300368452,0
