window_index,start_time,end_time,ground_truth_label,raw_predicted_label,raw_confidence,raw_z_distance,raw_classifier_prediction,smoothed_predicted_label
0,0.00,3.00,STOP,STOP,0.9030,0.445,STOP,STOP
1,0.25,3.25,STOP,STOP,0.8776,0.445,STOP,STOP
2,0.50,3.50,STOP,STOP,0.9316,0.221,STOP,STOP
3,0.75,3.75,STOP,STOP,0.8210,0.317,STOP,STOP
4,1.00,4.00,STOP,STOP,0.6949,0.332,STOP,STOP
5,1.25,4.25,STOP,STOP,0.7292,0.309,STOP,STOP
6,1.50,4.50,STOP,STOP,0.5918,0.382,STOP,STOP
7,1.75,4.75,STOP,STOP,0.9537,0.455,STOP,STOP
8,2.00,5.00,STOP,STOP,0.9214,0.405,STOP,STOP
9,2.25,5.25,STOP,STOP,0.9653,0.437,STOP,STOP
10,2.50,5.50,STOP,STOP,0.9015,0.324,STOP,STOP
11,2.75,5.75,STOP,STOP,0.9659,0.341,STOP,STOP
12,3.00,6.00,STOP,STOP,0.9666,0.384,STOP,STOP
13,3.25,6.25,STOP,STOP,0.9527,0.406,STOP,STOP
14,3.50,6.50,STOP,STOP,0.9707,0.449,STOP,STOP
15,3.75,6.75,STOP,STOP,0.9899,0.604,STOP,STOP
16,4.00,7.00,STOP,STOP,0.9946,0.597,STOP,STOP
17,4.25,7.25,STOP,STOP,0.9925,0.578,STOP,STOP
18,4.50,7.50,STOP,STOP,0.9957,0.687,STOP,STOP
19,4.75,7.75,STOP,STOP,0.9947,0.668,STOP,STOP
20,5.00,8.00,STOP,STOP,0.9975,0.806,STOP,STOP
21,5.25,8.25,STOP,STOP,0.9970,0.688,STOP,STOP
22,5.50,8.50,STOP,STOP,0.9983,0.810,STOP,STOP
23,5.75,8.75,STOP,STOP,0.9984,0.973,STOP,STOP
24,6.00,9.00,STOP,STOP,0.9950,0.674,STOP,STOP
25,6.25,9.25,STOP,STOP,0.9943,0.597,STOP,STOP
26,6.50,9.50,STOP,STOP,0.9963,0.673,STOP,STOP
27,6.75,9.75,STOP,STOP,0.9933,0.657,STOP,STOP
28,7.00,10.00,STOP,STOP,0.9915,0.679,STOP,STOP
29,7.25,10.25,STOP,STOP,0.9925,0.689,STOP,STOP
30,7.50,10.50,STOP,STOP,0.9953,0.688,STOP,STOP
31,7.75,10.75,STOP,STOP,0.9973,0.671,STOP,STOP
32,8.00,11.00,STOP,STOP,0.9978,0.617,STOP,STOP
33,8.25,11.25,STOP,STOP,0.9987,0.737,STOP,STOP
34,8.50,11.50,STOP,STOP,0.9990,0.726,STOP,STOP
35,8.75,11.75,STOP,STOP,0.9991,0.714,STOP,STOP
36,9.00,12.00,STOP,STOP,0.9998,1.006,STOP,STOP
37,9.25,12.25,STOP,STOP,0.9996,1.079,STOP,STOP
38,9.50,12.50,STOP,STOP,0.9996,1.112,STOP,STOP
39,9.75,12.75,STOP,STOP,0.9996,1.088,STOP,STOP
40,10.00,13.00,STOP,STOP,0.9994,1.049,STOP,STOP
41,10.25,13.25,STOP,STOP,0.9994,1.080,STOP,STOP
42,10.50,13.50,STOP,STOP,0.9994,1.063,STOP,STOP
43,10.75,13.75,STOP,STOP,0.9989,1.026,STOP,STOP
44,11.00,14.00,STOP,STOP,0.9971,1.041,STOP,STOP
45,11.25,14.25,STOP,STOP,0.9913,0.325,STOP,STOP
46,11.50,14.50,STOP,STOP,0.9716,0.239,STOP,STOP
47,11.75,14.75,STOP,STOP,0.9016,0.226,STOP,STOP
48,12.00,15.00,STOP,STOP,0.9326,0.267,STOP,STOP
49,12.25,15.25,STOP,STOP,0.8365,0.319,STOP,STOP
50,12.50,15.50,STOP,WALK,0.6142,0.568,WALK,STOP
51,12.75,15.75,STOP,WALK,0.5176,0.583,WALK,STOP
52,13.00,16.00,STOP,STOP,0.6176,0.563,STOP,WALK
53,13.25,16.25,STOP,STOP,0.6729,0.569,STOP,WALK
54,13.50,16.50,STOP,WALK,0.5771,0.672,WALK,STOP
55,13.75,16.75,STOP,WALK,0.6102,0.655,WALK,STOP
56,14.00,17.00,STOP,STOP,0.5521,0.648,STOP,STOP
57,14.25,17.25,STOP,STOP,0.9212,0.257,STOP,STOP
58,14.50,17.50,STOP,STOP,0.9446,0.241,STOP,STOP
59,14.75,17.75,STOP,STOP,0.9853,0.344,STOP,STOP
60,15.00,18.00,STOP,STOP,0.9827,0.387,STOP,STOP
61,15.25,18.25,STOP,STOP,0.9937,0.536,STOP,STOP
62,15.50,18.50,STOP,STOP,0.9983,1.040,STOP,STOP
63,15.75,18.75,STOP,STOP,0.9990,1.064,STOP,STOP
64,16.00,19.00,STOP,STOP,0.9977,1.031,STOP,STOP
