window_index,start_time,end_time,ground_truth_label,raw_predicted_label,raw_confidence,raw_z_distance,raw_classifier_prediction,smoothed_predicted_label
65,16.25,19.25,STOP,STOP,0.9971,0.953,STOP,STOP
66,16.50,19.50,STOP,STOP,0.9953,1.141,STOP,STOP
67,16.75,19.75,STOP,STOP,0.9984,1.183,STOP,STOP
68,17.00,20.00,STOP,STOP,0.9980,1.229,STOP,STOP
69,17.25,20.25,STOP,STOP,0.9986,1.276,STOP,STOP
70,17.50,20.50,STOP,STOP,0.9975,1.072,STOP,STOP
71,17.75,20.75,STOP,STOP,0.9946,1.045,STOP,STOP
72,18.00,21.00,STOP,STOP,0.9943,1.004,STOP,STOP
73,18.25,21.25,STOP,STOP,0.9917,0.990,STOP,STOP
74,18.50,21.50,STOP,STOP,0.9670,0.725,STOP,STOP
75,18.75,21.75,STOP,STOP,0.9184,0.481,STOP,STOP
76,19.00,22.00,STOP,STOP,0.9206,0.421,STOP,STOP
77,19.25,22.25,STOP,STOP,0.8611,0.323,STOP,STOP
78,19.50,22.50,STOP,STOP,0.9360,0.319,STOP,STOP
79,19.75,22.75,STOP,STOP,0.8759,0.321,STOP,STOP
80,20.00,23.00,STOP,STOP,0.7955,0.313,STOP,STOP
81,20.25,23.25,STOP,STOP,0.8551,0.320,STOP,STOP
82,20.50,23.50,STOP,STOP,0.9422,0.417,STOP,STOP
83,20.75,23.75,STOP,STOP,0.8966,0.418,STOP,STOP
84,21.00,24.00,STOP,STOP,0.9238,0.402,STOP,STOP
85,21.25,24.25,STOP,STOP,0.9375,0.403,STOP,STOP
86,21.50,24.50,STOP,STOP,0.9711,0.582,STOP,STOP
87,21.75,24.75,STOP,STOP,0.9889,0.852,STOP,STOP
88,22.00,25.00,STOP,STOP,0.9876,1.004,STOP,STOP
89,22.25,25.25,STOP,STOP,0.9926,0.961,STOP,STOP
90,22.50,25.50,STOP,STOP,0.9913,0.954,STOP,STOP
91,22.75,25.75,STOP,STOP,0.9821,0.357,STOP,STOP
92,23.00,26.00,STOP,STOP,0.9777,0.340,STOP,STOP
93,23.25,26.25,STOP,STOP,0.9173,0.349,STOP,STOP
94,23.50,26.50,STOP,STOP,0.8628,0.358,STOP,STOP
95,23.75,26.75,STOP,STOP,0.6590,0.227,STOP,STOP
96,24.00,27.00,STOP,WALK,0.5129,0.244,WALK,STOP
97,24.25,27.25,STOP,STOP,0.6141,0.296,STOP,STOP
98,24.50,27.50,STOP,STOP,0.6701,0.309,STOP,STOP
99,24.75,27.75,STOP,STOP,0.7934,0.285,STOP,STOP
100,25.00,28.00,STOP,STOP,0.8851,0.325,STOP,STOP
101,25.25,28.25,STOP,STOP,0.9654,0.323,STOP,STOP
102,25.50,28.50,STOP,STOP,0.9729,0.352,STOP,STOP
103,25.75,28.75,STOP,STOP,0.9984,0.445,STOP,STOP
104,26.00,29.00,STOP,STOP,0.9988,0.477,STOP,STOP
105,26.25,29.25,STOP,STOP,0.9987,0.492,STOP,STOP
106,26.50,29.50,STOP,STOP,0.9998,0.499,STOP,STOP
107,26.75,29.75,STOP,STOP,1.0000,0.626,STOP,STOP
108,27.00,30.00,STOP,STOP,1.0000,0.640,STOP,STOP
109,27.25,30.25,STOP,STOP,1.0000,0.870,STOP,STOP
110,27.50,30.50,STOP,STOP,1.0000,0.860,STOP,STOP
111,27.75,30.75,STOP,STOP,1.0000,0.850,STOP,STOP
112,28.00,31.00,STOP,STOP,0.9999,0.852,STOP,STOP
113,28.25,31.25,STOP,STOP,0.9999,0.860,STOP,STOP
114,28.50,31.50,STOP,STOP,0.9997,0.840,STOP,STOP
115,28.75,31.75,STOP,STOP,0.9573,0.458,STOP,STOP
116,29.00,32.00,STOP,STOP,0.9347,0.447,STOP,STOP
117,29.25,32.25,STOP,STOP,0.9320,0.374,STOP,STOP
118,29.50,32.50,STOP,STOP,0.9534,0.394,STOP,STOP
119,29.75,32.75,STOP,STOP,0.9372,0.386,STOP,STOP
120,30.00,33.00,STOP,STOP,0.7589,0.422,STOP,STOP
121,30.25,33.25,STOP,WALK,0.6076,0.570,WALK,WALK
122,30.50,33.50,STOP,WALK,0.7844,1.120,WALK,WALK
123,30.75,33.75,STOP,WALK,0.8270,1.196,WALK,WALK
124,31.00,34.00,STOP,WALK,0.8076,1.276,WALK,WALK
125,31.25,34.25,STOP,WALK,0.7665,1.322,WALK,WALK
126,31.50,34.50,STOP,WALK,0.7901,1.333,WALK,WALK
127,31.75,34.75,STOP,STOP,0.9521,0.597,STOP,STOP
128,32.00,35.00,STOP,STOP,0.9544,0.587,STOP,STOP
129,32.25,35.25,STOP,STOP,0.9103,0.604,STOP,STOP
130,32.50,35.50,STOP,STOP,0.9282,0.583,STOP,STOP
131,32.75,35.75,STOP,STOP,0.8283,0.590,STOP,STOP
132,33.00,36.00,STOP,STOP,0.9314,0.542,STOP,STOP
133,33.25,36.25,STOP,STOP,0.9843,0.375,STOP,STOP
134,33.50,36.50,STOP,STOP,0.9932,0.310,STOP,STOP
135,33.75,36.75,STOP,STOP,0.9925,0.440,STOP,STOP
136,34.00,37.00,STOP,STOP,0.9865,0.521,STOP,STOP
137,34.25,37.25,STOP,STOP,0.9832,0.546,STOP,STOP
138,34.50,37.50,STOP,STOP,0.9786,0.554,STOP,STOP
139,34.75,37.75,STOP,STOP,0.9684,0.554,STOP,STOP
140,35.00,38.00,STOP,STOP,0.9803,0.523,STOP,STOP
141,35.25,38.25,STOP,STOP,0.9922,0.564,STOP,STOP
142,35.50,38.50,STOP,STOP,0.9742,0.507,STOP,STOP
143,35.75,38.75,STOP,STOP,0.9844,0.568,STOP,STOP
144,36.00,39.00,STOP,STOP,0.9911,0.529,STOP,STOP
145,36.25,39.25,STOP,STOP,0.9950,0.521,STOP,STOP
146,36.50,39.50,STOP,STOP,0.9982,0.996,STOP,STOP
147,36.75,39.75,STOP,STOP,0.9988,1.042,STOP,STOP
148,37.00,40.00,STOP,STOP,0.9989,1.039,STOP,STOP
149,37.25,40.25,STOP,STOP,0.9997,1.086,STOP,STOP
150,37.50,40.50,STOP,STOP,0.9996,1.141,STOP,STOP
151,37.75,40.75,STOP,STOP,0.9997,1.218,STOP,STOP
152,38.00,41.00,STOP,STOP,0.9998,1.283,STOP,STOP
153,38.25,41.25,STOP,STOP,0.9998,1.269,STOP,STOP
154,38.50,41.50,STOP,STOP,1.0000,1.237,STOP,STOP
155,38.75,41.75,STOP,STOP,0.9998,0.566,STOP,STOP
156,39.00,42.00,STOP,STOP,0.9994,0.431,STOP,STOP
157,39.25,42.25,STOP,STOP,0.9992,0.440,STOP,STOP
158,39.50,42.50,STOP,STOP,0.9979,0.348,STOP,STOP
159,39.75,42.75,STOP,STOP,0.9949,0.286,STOP,STOP
160,40.00,43.00,STOP,STOP,0.9959,0.253,STOP,STOP
161,40.25,43.25,STOP,STOP,0.9925,0.205,STOP,STOP
162,40.50,43.50,STOP,STOP,0.9934,0.194,STOP,STOP
163,40.75,43.75,STOP,STOP,0.9931,0.203,STOP,STOP
164,41.00,44.00,STOP,STOP,0.9855,0.248,STOP,STOP
165,41.25,44.25,STOP,STOP,0.9646,0.269,STOP,STOP
166,41.50,44.50,STOP,STOP,0.9418,0.220,STOP,STOP
167,41.75,44.75,STOP,STOP,0.8694,0.288,STOP,STOP
168,42.00,45.00,STOP,STOP,0.8679,0.186,STOP,STOP
169,42.25,45.25,STOP,STOP,0.9103,0.179,STOP,STOP
170,42.50,45.50,STOP,STOP,0.9069,0.166,STOP,STOP
171,42.75,45.75,STOP,STOP,0.9738,0.176,STOP,STOP
172,43.00,46.00,STOP,STOP,0.9726,0.183,STOP,STOP
173,43.25,46.25,STOP,STOP,0.9756,0.244,STOP,STOP
174,43.50,46.50,STOP,STOP,0.9772,0.269,STOP,STOP
175,43.75,46.75,STOP,STOP,0.9692,0.308,STOP,STOP
176,44.00,47.00,STOP,STOP,0.9839,0.365,STOP,STOP
177,44.25,47.25,STOP,STOP,0.9872,0.384,STOP,STOP
178,44.50,47.50,STOP,STOP,0.9726,0.313,STOP,STOP
179,44.75,47.75,STOP,STOP,0.9970,0.589,STOP,STOP
180,45.00,48.00,STOP,STOP,0.9986,0.909,STOP,STOP
181,45.25,48.25,STOP,STOP,0.9970,0.968,STOP,STOP
182,45.50,48.50,STOP,STOP,0.9988,1.018,STOP,STOP
183,45.75,48.75,STOP,STOP,0.9989,1.044,STOP,STOP
184,46.00,49.00,STOP,STOP,0.9786,0.607,STOP,STOP
185,46.25,49.25,STOP,STOP,0.9581,0.383,STOP,STOP
186,46.50,49.50,STOP,STOP,0.7650,0.251,STOP,STOP
187,46.75,49.75,STOP,STOP,0.8146,0.266,STOP,STOP
188,47.00,50.00,STOP,STOP,0.8406,0.262,STOP,STOP
189,47.25,50.25,STOP,STOP,0.7227,0.268,STOP,STOP
190,47.50,50.50,STOP,STOP,0.8480,0.286,STOP,STOP
191,47.75,50.75,STOP,STOP,0.8682,0.309,STOP,STOP
192,48.00,51.00,STOP,STOP,0.8703,0.331,STOP,STOP
193,48.25,51.25,STOP,STOP,0.8282,0.306,STOP,STOP
194,48.50,51.50,STOP,STOP,0.7103,0.302,STOP,STOP
195,48.75,51.75,STOP,STOP,0.6218,0.291,STOP,STOP
196,49.00,52.00,STOP,STOP,0.8095,0.424,STOP,STOP
197,49.25,52.25,STOP,STOP,0.8950,0.646,STOP,STOP
198,49.50,52.50,STOP,STOP,0.9900,1.163,STOP,STOP
199,49.75,52.75,STOP,STOP,0.9620,1.025,STOP,STOP
200,50.00,53.00,STOP,STOP,0.9655,0.910,STOP,STOP
201,50.25,53.25,STOP,STOP,0.9848,0.964,STOP,STOP
202,50.50,53.50,STOP,STOP,0.9900,1.074,STOP,STOP
203,50.75,53.75,STOP,STOP,0.9880,1.053,STOP,STOP
204,51.00,54.00,STOP,STOP,0.9852,0.956,STOP,STOP
205,51.25,54.25,STOP,STOP,0.9894,0.863,STOP,STOP
206,51.50,54.50,STOP,STOP,0.9920,0.858,STOP,STOP
207,51.75,54.75,STOP,STOP,0.9874,0.801,STOP,STOP
208,52.00,55.00,STOP,STOP,0.9918,0.822,STOP,STOP
209,52.25,55.25,STOP,STOP,0.9863,0.758,STOP,STOP
210,52.50,55.50,STOP,STOP,0.9897,0.750,STOP,STOP
211,52.75,55.75,STOP,STOP,0.9847,0.844,STOP,STOP
212,53.00,56.00,STOP,STOP,0.9910,0.953,STOP,STOP
213,53.25,56.25,STOP,STOP,0.9895,0.850,STOP,STOP
214,53.50,56.50,STOP,STOP,0.9915,0.757,STOP,STOP
215,53.75,56.75,STOP,STOP,0.9922,0.705,STOP,STOP
216,54.00,57.00,STOP,STOP,0.9934,0.763,STOP,STOP
217,54.25,57.25,STOP,STOP,0.9967,0.878,STOP,STOP
218,54.50,57.50,STOP,STOP,0.9979,0.890,STOP,STOP
219,54.75,57.75,STOP,STOP,0.9982,1.017,STOP,STOP
220,55.00,58.00,STOP,STOP,0.9974,0.977,STOP,STOP
221,55.25,58.25,STOP,STOP,0.9954,0.826,STOP,STOP
222,55.50,58.50,STOP,STOP,0.9824,0.605,STOP,STOP
223,55.75,58.75,STOP,STOP,0.9786,0.525,STOP,STOP
224,56.00,59.00,STOP,STOP,0.9721,0.298,STOP,STOP
225,56.25,59.25,STOP,STOP,0.9421,0.298,STOP,STOP
226,56.50,59.50,STOP,STOP,0.9221,0.350,STOP,STOP
227,56.75,59.75,STOP,STOP,0.9157,0.373,STOP,STOP
228,57.00,60.00,STOP,STOP,0.8159,0.368,STOP,STOP
229,57.25,60.25,STOP,STOP,0.5766,0.397,STOP,STOP
230,57.50,60.50,WALK,WALK,0.7093,0.414,WALK,WALK
231,57.75,60.75,WALK,WALK,0.9751,0.766,WALK,WALK
232,58.00,61.00,WALK,WALK,0.9899,1.024,WALK,WALK
233,58.25,61.25,WALK,WALK,0.9747,1.068,WALK,WALK
234,58.50,61.50,WALK,WALK,0.9885,0.929,WALK,WALK
235,58.75,61.75,WALK,WALK,0.9895,0.896,WALK,WALK
236,59.00,62.00,WALK,WALK,0.9947,0.791,WALK,WALK
237,59.25,62.25,WALK,WALK,0.9961,1.126,WALK,WALK
238,59.50,62.50,WALK,WALK,0.9974,1.125,WALK,WALK
239,59.75,62.75,WALK,WALK,0.9967,1.031,WALK,WALK
240,60.00,63.00,WALK,WALK,0.9962,1.073,WALK,WALK
241,60.25,63.25,WALK,WALK,0.9969,1.078,WALK,WALK
242,60.50,63.50,WALK,WALK,0.9992,1.258,WALK,WALK
243,60.75,63.75,WALK,WALK,0.9918,0.957,WALK,WALK
244,61.00,64.00,WALK,WALK,0.9857,0.780,WALK,WALK
245,61.25,64.25,WALK,WALK,0.9810,0.721,WALK,WALK
246,61.50,64.50,WALK,WALK,0.9905,0.740,WALK,WALK
247,61.75,64.75,WALK,WALK,0.9958,0.764,WALK,WALK
248,62.00,65.00,WALK,WALK,0.9950,0.767,WALK,WALK
249,62.25,65.25,WALK,WALK,0.9725,0.285,WALK,WALK
250,62.50,65.50,WALK,WALK,0.9064,0.263,WALK,WALK
251,62.75,65.75,WALK,WALK,0.8805,0.242,WALK,WALK
252,63.00,66.00,WALK,WALK,0.8719,0.240,WALK,WALK
253,63.25,66.25,WALK,WALK,0.8100,0.244,WALK,WALK
254,63.50,66.50,WALK,WALK,0.8013,0.320,WALK,WALK
255,63.75,66.75,WALK,WALK,0.9181,0.360,WALK,WALK
256,64.00,67.00,WALK,WALK,0.7332,0.462,WALK,WALK
257,64.25,67.25,WALK,WALK,0.7355,0.438,WALK,WALK
258,64.50,67.50,WALK,WALK,0.6828,0.394,WALK,WALK
259,64.75,67.75,WALK,STOP,0.6936,0.347,STOP,WALK
260,65.00,68.00,WALK,STOP,0.6868,0.324,STOP,WALK
261,65.25,68.25,WALK,WALK,0.6231,0.347,WALK,WALK
262,65.50,68.50,WALK,WALK,0.5839,0.343,WALK,WALK
263,65.75,68.75,WALK,WALK,0.6104,0.344,WALK,WALK
264,66.00,69.00,WALK,WALK,0.5886,0.349,WALK,WALK
265,66.25,69.25,WALK,WALK,0.6363,0.358,WALK,WALK
266,66.50,69.50,WALK,WALK,0.9079,0.439,WALK,WALK
267,66.75,69.75,WALK,WALK,0.8389,0.402,WALK,WALK
268,67.00,70.00,WALK,WALK,0.9787,0.575,WALK,WALK
269,67.25,70.25,WALK,WALK,0.9430,0.525,WALK,WALK
270,67.50,70.50,WALK,WALK,0.6092,0.277,WALK,WALK
271,67.75,70.75,WALK,WALK,0.7880,0.320,WALK,WALK
272,68.00,71.00,WALK,WALK,0.7108,0.351,WALK,WALK
273,68.25,71.25,WALK,WALK,0.5735,0.400,WALK,WALK
274,68.50,71.50,WALK,WALK,0.9152,0.270,WALK,WALK
275,68.75,71.75,WALK,WALK,0.9441,0.277,WALK,WALK
276,69.00,72.00,WALK,WALK,0.9458,0.287,WALK,WALK
277,69.25,72.25,WALK,WALK,0.9127,0.274,WALK,WALK
278,69.50,72.50,WALK,WALK,0.7145,0.597,WALK,WALK
279,69.75,72.75,WALK,WALK,0.6953,0.577,WALK,WALK
280,70.00,73.00,WALK,WALK,0.7622,0.556,WALK,WALK
281,70.25,73.25,STOP,WALK,0.8152,0.492,WALK,WALK
282,70.50,73.50,STOP,WALK,0.8441,0.491,WALK,WALK
283,70.75,73.75,STOP,WALK,0.8694,0.414,WALK,WALK
284,71.00,74.00,STOP,WALK,0.8664,0.312,WALK,WALK
285,71.25,74.25,STOP,WALK,0.7591,0.285,WALK,WALK
286,71.50,74.50,STOP,STOP,0.7494,0.330,STOP,STOP
287,71.75,74.75,STOP,STOP,0.8694,0.384,STOP,STOP
288,72.00,75.00,STOP,STOP,0.9263,0.384,STOP,STOP
289,72.25,75.25,STOP,STOP,0.9792,0.487,STOP,STOP
290,72.50,75.50,STOP,STOP,0.9934,0.544,STOP,STOP
291,72.75,75.75,STOP,STOP,0.9977,0.586,STOP,STOP
292,73.00,76.00,STOP,STOP,0.9991,0.636,STOP,STOP
293,73.25,76.25,STOP,STOP,0.9995,0.674,STOP,STOP
294,73.50,76.50,STOP,STOP,0.9994,0.677,STOP,STOP
295,73.75,76.75,STOP,STOP,0.9998,0.734,STOP,STOP
296,74.00,77.00,STOP,STOP,0.9995,0.742,STOP,STOP
297,74.25,77.25,STOP,STOP,0.9991,0.679,STOP,STOP
298,74.50,77.50,STOP,STOP,0.9985,0.656,STOP,STOP
299,74.75,77.75,STOP,STOP,0.9986,0.630,STOP,STOP
300,75.00,78.00,STOP,STOP,0.9991,0.741,STOP,STOP
301,75.25,78.25,STOP,STOP,0.9989,0.770,STOP,STOP
302,75.50,78.50,STOP,STOP,0.9980,0.714,STOP,STOP
303,75.75,78.75,STOP,STOP,0.9941,0.569,STOP,STOP
304,76.00,79.00,STOP,STOP,0.9893,0.493,STOP,STOP
305,76.25,79.25,STOP,STOP,0.9875,0.527,STOP,STOP
306,76.50,79.50,STOP,STOP,0.9835,0.523,STOP,STOP
307,76.75,79.75,STOP,STOP,0.9526,0.527,STOP,STOP
308,77.00,80.00,STOP,STOP,0.9482,0.514,STOP,STOP
309,77.25,80.25,STOP,STOP,0.9398,0.524,STOP,STOP
310,77.50,80.50,STOP,STOP,0.9689,0.519,STOP,STOP
311,77.75,80.75,STOP,STOP,0.9804,0.521,STOP,STOP
312,78.00,81.00,STOP,STOP,0.8520,0.345,STOP,STOP
313,78.25,81.25,STOP,STOP,0.8663,0.300,STOP,STOP
314,78.50,81.50,STOP,STOP,0.7110,0.310,STOP,STOP
315,78.75,81.75,STOP,STOP,0.8081,0.360,STOP,STOP
316,79.00,82.00,STOP,STOP,0.9251,0.442,STOP,STOP
317,79.25,82.25,STOP,STOP,0.8680,0.401,STOP,STOP
318,79.50,82.50,STOP,STOP,0.8415,0.465,STOP,STOP
319,79.75,82.75,STOP,STOP,0.8381,0.776,STOP,STOP
320,80.00,83.00,STOP,STOP,0.8832,0.593,STOP,STOP
321,80.25,83.25,STOP,STOP,0.9624,0.618,STOP,STOP
322,80.50,83.50,STOP,STOP,0.9686,0.625,STOP,STOP
323,80.75,83.75,STOP,STOP,0.9657,0.629,STOP,STOP
324,81.00,84.00,STOP,STOP,0.9930,0.785,STOP,STOP
325,81.25,84.25,STOP,STOP,0.9912,0.804,STOP,STOP
326,81.50,84.50,STOP,STOP,0.9937,0.677,STOP,STOP
327,81.75,84.75,STOP,STOP,0.9978,0.782,STOP,STOP
328,82.00,85.00,STOP,STOP,0.9951,0.733,STOP,STOP
329,82.25,85.25,STOP,STOP,0.9900,0.747,STOP,STOP
330,82.50,85.50,STOP,STOP,0.9960,0.693,STOP,STOP
331,82.75,85.75,STOP,STOP,0.9984,0.717,STOP,STOP
332,83.00,86.00,STOP,STOP,0.9971,0.880,STOP,STOP
333,83.25,86.25,STOP,STOP,0.9953,0.928,STOP,STOP
334,83.50,86.50,STOP,STOP,0.9933,0.887,STOP,STOP
335,83.75,86.75,STOP,STOP,0.9928,0.806,STOP,STOP
336,84.00,87.00,STOP,STOP,0.9937,0.777,STOP,STOP
337,84.25,87.25,STOP,STOP,0.9888,0.831,STOP,STOP
338,84.50,87.50,STOP,STOP,0.9930,0.888,STOP,STOP
339,84.75,87.75,STOP,STOP,0.9833,0.708,STOP,STOP
340,85.00,88.00,STOP,STOP,0.9362,0.657,STOP,STOP
341,85.25,88.25,STOP,STOP,0.9645,0.372,STOP,STOP
342,85.50,88.50,STOP,STOP,0.9557,0.321,STOP,STOP
343,85.75,88.75,STOP,STOP,0.9276,0.494,STOP,STOP
344,86.00,89.00,STOP,STOP,0.9164,0.515,STOP,STOP
345,86.25,89.25,STOP,STOP,0.9070,0.541,STOP,STOP
346,86.50,89.50,STOP,STOP,0.8808,0.574,STOP,STOP
347,86.75,89.75,STOP,STOP,0.8597,0.517,STOP,STOP
348,87.00,90.00,STOP,STOP,0.5928,0.794,STOP,STOP
349,87.25,90.25,STOP,STOP,0.5552,0.940,STOP,STOP
350,87.50,90.50,STOP,STOP,0.5033,0.926,STOP,STOP
351,87.75,90.75,STOP,STOP,0.6918,0.867,STOP,STOP
352,88.00,91.00,STOP,STOP,0.7310,0.795,STOP,STOP
353,88.25,91.25,STOP,STOP,0.5946,0.335,STOP,STOP
354,88.50,91.50,STOP,STOP,0.5027,0.816,STOP,STOP
355,88.75,91.75,STOP,WALK,0.5779,0.694,WALK,WALK
356,89.00,92.00,WALK,WALK,0.5576,0.789,WALK,WALK
357,89.25,92.25,WALK,WALK,0.5907,0.859,WALK,WALK
358,89.50,92.50,WALK,WALK,0.7387,0.917,WALK,WALK
359,89.75,92.75,WALK,WALK,0.8862,0.998,WALK,WALK
360,90.00,93.00,WALK,WALK,0.8996,0.834,WALK,WALK
361,90.25,93.25,WALK,WALK,0.9696,0.890,WALK,WALK
362,90.50,93.50,WALK,WALK,0.9691,0.894,WALK,WALK
363,90.75,93.75,WALK,WALK,0.9891,1.127,WALK,WALK
364,91.00,94.00,WALK,WALK,0.9915,1.093,WALK,WALK
365,91.25,94.25,WALK,WALK,0.9713,0.883,WALK,WALK
366,91.50,94.50,WALK,WALK,0.9290,0.559,WALK,WALK
367,91.75,94.75,WALK,WALK,0.9798,0.859,WALK,WALK
368,92.00,95.00,WALK,WALK,0.9903,0.939,WALK,WALK
369,92.25,95.25,WALK,WALK,0.9768,0.855,WALK,WALK
370,92.50,95.50,WALK,WALK,0.9555,0.836,WALK,WALK
371,92.75,95.75,WALK,WALK,0.9780,1.044,WALK,WALK
372,93.00,96.00,WALK,WALK,0.9942,1.746,WALK,WALK
373,93.25,96.25,WALK,WALK,0.9130,1.718,WALK,WALK
374,93.50,96.50,WALK,WALK,0.9639,1.786,WALK,WALK
375,93.75,96.75,WALK,WALK,0.9962,1.989,WALK,WALK
376,94.00,97.00,WALK,WALK,0.9985,2.030,WALK,WALK
377,94.25,97.25,WALK,WALK,0.9979,1.985,WALK,WALK
378,94.50,97.50,WALK,WALK,0.9965,1.972,WALK,WALK
379,94.75,97.75,WALK,WALK,0.9826,1.728,WALK,WALK
380,95.00,98.00,WALK,WALK,0.9506,1.590,WALK,WALK
381,95.25,98.25,WALK,WALK,0.9790,1.599,WALK,WALK
382,95.50,98.50,WALK,WALK,0.9958,1.611,WALK,WALK
383,95.75,98.75,WALK,WALK,0.9964,1.303,WALK,WALK
384,96.00,99.00,WALK,WALK,0.9889,0.706,WALK,WALK
385,96.25,99.25,WALK,WALK,0.9832,0.585,WALK,WALK
386,96.50,99.50,WALK,WALK,0.9659,0.386,WALK,WALK
387,96.75,99.75,WALK,STOP,0.6318,0.558,STOP,STOP
388,97.00,100.00,WALK,STOP,0.8822,0.644,STOP,STOP
389,97.25,100.25,WALK,STOP,0.8782,0.644,STOP,STOP
390,97.50,100.50,WALK,STOP,0.9050,0.626,STOP,STOP
391,97.75,100.75,WALK,WALK,0.7247,0.205,WALK,WALK
392,98.00,101.00,WALK,WALK,0.6515,0.262,WALK,WALK
393,98.25,101.25,WALK,WALK,0.8716,0.354,WALK,WALK
394,98.50,101.50,WALK,WALK,0.8293,0.405,WALK,WALK
395,98.75,101.75,WALK,WALK,0.8159,0.393,WALK,WALK
