stream_time_s,prediction,confidence,truth,feature_ms,decision_ms,end_to_end_ms,source_lateness_ms,smoothed_prediction,smoothing_delay_ms,smoothing_wall_delay_ms,total_latency_ms
1.0,WALK,0.7874433903118772,,8.12430000223685,0.13130001025274396,8.255600012489595,0.0,WALK,50.0,39.528599998448044,47.78420001093764
1.05,WALK,0.613099971905411,,4.938800004310906,0.08159999561030418,5.02039999992121,0.0,WALK,50.0,65.90990000404418,70.93030000396539
1.1,STOP,0.604294524641028,,12.633300008019432,0.11529999028425664,12.748599998303689,8.999999932711944,STOP,50.0,46.5801999962423,59.32879999454599
1.15,STOP,0.6675328227937869,,4.862900008447468,0.0678999931551516,4.93080000160262,5.999999935738742,STOP,50.0,49.29470000206493,54.22550000366755
1.2,STOP,0.6860209525038135,,4.806299999472685,0.0678000069456175,4.874100006418303,2.9999999387655407,STOP,50.0,52.03399999300018,56.90809999941848
1.25,STOP,0.6827032623456186,,4.449100000783801,0.06649999704677612,4.515599997830577,15.999999930500053,STOP,50.0,39.130600009229966,43.64620000706054
1.3,STOP,0.7808322131896552,,4.671100003179163,0.06629999552387744,4.73739999870304,0.0,STOP,50.0,57.90099999285303,62.63839999155607
1.35,STOP,0.8892054904757112,,4.50260000070557,0.06310000026132911,4.565700000966899,8.999999918160029,STOP,50.0,51.54380000021774,56.10950000118464
1.4,STOP,0.9508760925114546,,9.953899992979132,0.12870000500697643,10.082599997986108,5.999999921186827,STOP,50.0,49.102399992989376,59.184999990975484
1.45,STOP,0.9511685176699348,,4.752699998789467,0.09530001261737198,4.848000011406839,2.9999999242136255,STOP,50.0,58.78409999422729,63.63210000563413
1.5,STOP,0.9561693031550361,,11.200399996596389,0.11660000018309802,11.316999996779487,15.999999915948138,STOP,50.0,38.86090000742115,50.17790000420064
1.55,STOP,0.9568844275738724,,4.550899990135804,0.08140000863932073,4.6322999987751245,0.0,STOP,50.0,43.54469999088906,48.17699998966418
1.6,STOP,0.8950541602265942,,5.143700007465668,0.07399999594781548,5.2177000034134835,0.0,STOP,50.0,61.1332999978913,66.35100000130478
1.65,STOP,0.9054882111010284,,4.494900000281632,0.06670001312159002,4.561600013403222,5.999999906634912,STOP,50.0,49.32389999157749,53.88550000498071
1.7,STOP,0.9168305651168487,,4.806799988728017,0.06659999780822545,4.873399986536242,2.9999999096617103,STOP,50.0,58.128500008024275,63.00189999456052
1.75,STOP,0.9534169893006468,,10.54390000354033,0.08520000847056508,10.629100012010895,15.999999901396222,STOP,50.0,40.11799998988863,50.747100001899526
1.8,STOP,0.919333724806355,,5.33819998963736,0.15639999764971435,5.494599987287074,11.999999900581315,STOP,50.0,46.863000010489486,52.35759999777656
1.85,STOP,0.8979452016641213,,8.227199999964796,0.07399999594781548,8.301199995912611,0.0,STOP,50.0,62.762899993686005,71.06409998959862
1.9,STOP,0.9267392371902139,,6.381099999998696,0.06979999307077378,6.45089999306947,5.999999892082997,STOP,50.0,32.966500002657995,39.417399995727465
1.95,STOP,0.9246945188608581,,4.701400001067668,0.07239999831654131,4.7737999993842095,2.999999895109795,STOP,50.0,52.00910000712611,56.78290000651032
2.0,STOP,0.9278020922496266,,4.746899998281151,0.07130000449251384,4.818200002773665,0.0,STOP,50.0,55.03750000207219,59.85570000484586
