held_out,n_train,n_test,accuracy,balanced_accuracy,stop_recall,walk_recall
ses-01,8225,4892,0.7639002452984465,0.7975954532838359,0.6745827984595636,0.9206081081081081
ses-02,8225,4892,0.794358135731807,0.8069759827221317,0.7609114249037228,0.8530405405405406
ses-03,8225,4892,0.8319705641864268,0.8504239958829176,0.7830551989730423,0.9177927927927928
ses-04,8225,4892,0.8432134096484055,0.849442791636309,0.8267008985879333,0.8721846846846847
ses-05,8225,4892,0.8448487326246934,0.8239701511524362,0.9001925545571245,0.7477477477477478
ses-06,8225,4892,0.8137775960752248,0.8325107842116828,0.7641206675224647,0.9009009009009009
ses-07,8225,4892,0.7931316434995912,0.774656235182551,0.8421052631578947,0.7072072072072072
ses-08,8225,4892,0.8011038430089943,0.8063388324139287,0.787227214377407,0.8254504504504504
